,站號,站名,海拔高度(m),城市,經度,緯度,地址
131,C0E820,獅潭,220.0,苗栗縣,120.920042,24.539133,獅潭鄉新店村11鄰103-2號(獅潭鄉公所圖書館樓頂)
132,C0E830,苑裡,37.0,苗栗縣,120.653053,24.439714,苑裡鎮信義路1號(苑裡鎮公所)
133,C0E850,大河,104.0,苗栗縣,120.948578,24.618069,三灣鄉大河村48號(大河派出所)
134,C0E870,高鐵苗栗,34.0,苗栗縣,120.826094,24.60725,後龍鎮高鐵三路268號(高鐵苗栗站外)
135,C0E880,三義,507.0,苗栗縣,120.74982,24.40548,苗栗縣三義鄉130縣道13.5K附近（慈濟山茶園內）
136,C0E910,海埔,25.0,苗栗縣,120.772435,24.648767,後龍鎮海埔125之15號(外埔安檢所樓頂)
137,C0E920,通霄漁港,20.0,苗栗縣,120.673876,24.498589,通霄鎮漁港路69號(通霄安檢所樓頂)
138,C0E930,龍鳳,26.0,苗栗縣,120.859125,24.700034,竹南鎮龍鳳里龍江街359巷5號(龍鳳安檢所樓頂)
139,C0F000,大肚,273.0,臺中市,120.572117,24.15295,大肚區瑞井里遊園路一段2號(臺中區監理所內)
140,C0F0A0,雪山圈谷,3587.0,臺中市,121.236339,24.388594,和平區(往雪山主峰路上9.8公里處右邊)
141,C0F0B0,石岡,311.0,臺中市,120.777644,24.276061,石岡區石岡街6號 (臺中市石岡區衛生所)
142,C0F0C0,中坑,983.0,臺中市,120.903319,24.248517,和平區中坑里中坑段39地號內
143,C0F0D0,審馬陣,3171.0,臺中市,121.4203,24.381675,和平區南湖大山指標16.2K處(審馬陣山附近)
144,C0F0E0,南湖圈谷,3557.0,臺中市,121.444667,24.363714,和平區南湖大山指標20K處(南湖主峰東峰岔路附近)
145,C0F850,東勢,379.0,臺中市,120.833047,24.246428,東勢區東關路647號(東勢林區管理處雙崎工作站內)
146,C0F861,梨山,2215.0,臺中市,121.243669,24.247522,和平區梨山里福壽路29號（福壽山農場）
147,C0F930,大甲,100.0,臺中市,120.640403,24.347667,大甲區開元路71號(大甲高級工業職業學校內)
148,C0F970,大坑,145.0,臺中市,120.722289,24.173142,北屯區軍福十三路268號(東山消防分隊)
149,C0F9A0,中竹林,425.0,臺中市,120.751061,24.103556,太平區長龍路中埔二號橋至站址直線距離約1.7km
150,C0F9I0,神岡,194.0,臺中市,120.658314,24.272481,神岡區三民路639號(圳堵國小校園南側大樓屋頂平台)
151,C0F9K0,大安,30.0,臺中市,120.588025,24.345061,大安區中庄里中山南路296號(大安國小)
152,C0F9L0,后里,253.0,臺中市,120.729725,24.310436,后里區甲后路110號(后里國小)
153,C0F9M0,豐原,230.0,臺中市,120.720692,24.254322,豐原區豐榮里12鄰新生北路155號(豐原國小)
154,C0F9N0,大里,75.0,臺中市,120.701378,24.092464,大里區文化街120號(塗城國小)
155,C0F9O0,潭子,175.0,臺中市,120.703933,24.213106,潭子區中山路二段435號(潭子國小)
156,C0F9P0,清水,26.0,臺中市,120.562242,24.312297,清水區護岸路37號(高美國小)
157,C0F9Q0,外埔,149.0,臺中市,120.705686,24.347817,外埔區土城里土城西路55號(安定國小)
158,C0F9R0,龍井,20.0,臺中市,120.528972,24.184536,龍井區西里龍門路51號(龍井國小)
159,C0F9S0,烏日,43.0,臺中市,120.624103,24.107058,烏日區中山路二段196號(烏日國小)
160,C0F9T0,西屯,111.0,臺中市,120.641275,24.179494,西屯區西屯路二段300號(西屯國小)
161,C0F9U0,南屯,74.0,臺中市,120.637969,24.137006,南屯區黎明路一段968號(南屯國小)
162,C0F9V0,新社,525.0,臺中市,120.815806,24.200172,新社區大南里興中街46號(農委會種苗改良繁殖場)
163,C0F9X0,大雅(中科園區),166.0,臺中市,120.62445,24.21528,大雅區中部科學工業園區臺中園區(汙水處理機房樓頂)
164,C0F9Y0,桃山,3313.0,臺中市,121.303808,24.432739,和平區(位於往桃山山屋叉路解說牌附近)
165,C0F9Z0,雪山東峰,3193.0,臺中市,121.268675,24.388792,和平區(位於雪山東峰直升機停機坪東南東方60公尺處)
166,C0FA00,烏石坑,983.0,臺中市,120.94762,24.2735,和平區東崎路2段烏石巷109號
167,C0FA10,松柏,22.0,臺中市,120.617482,24.429115,大甲區順帆路233號(松柏安檢所樓頂)
168,C0FA20,溫寮,26.0,臺中市,120.583125,24.372177,大安區中山北路1巷67號(臺中大安區里民活動中心樓頂)
169,C0G620,芬園,110.0,彰化縣,120.6213,24.015678,芬園鄉楓坑村大埔崙產業道路上(芬園往臺灣民俗村路上)
170,C0G640,鹿港,17.0,彰化縣,120.430481,24.0753,鹿港鎮海埔里顏厝巷67號(行政院退輔會魚殖管理處彰化分場內)
171,C0G650,員林,34.0,彰化縣,120.585597,23.946503,員林市萬年里明倫路2號(明倫國中內)
172,C0G660,溪湖,27.0,彰化縣,120.479122,23.94835,溪湖鎮大竹里彰水路2段725號(湖南國民小學內)
173,C0G720,溪州,50.0,彰化縣,120.499093,23.851589,溪州鄉溪下路四段560號(溪州鄉公所)
174,C0G730,二林,27.0,彰化縣,120.376081,23.903325,二林鎮仁愛路200號(二林消防分隊)
175,C0G740,大城,24.0,彰化縣,120.320935,23.852487,大城鄉東城村中平路185號(大城鄉公所)
176,C0G770,福興,15.0,彰化縣,120.437669,24.041289,福興鄉員鹿路二段270號(福興國中)
177,C0G780,秀水,27.0,彰化縣,120.503869,24.03405,秀水鄉安東村中山路257號(秀水國小)
178,C0G800,埔鹽,15.0,彰化縣,120.431683,24.000394,埔鹽鄉永樂村永樂路600號(永樂國小)
179,C0G810,埔心,26.0,彰化縣,120.525456,23.947633,埔心鄉舊館村員鹿路四段201號(舊館國小)
180,C0G820,田尾,29.0,彰化縣,120.509389,23.901669,田尾鄉中正路二段101號(仁豐國小)
181,C0G830,埤頭,27.0,彰化縣,120.452806,23.866003,埤頭鄉大湖村大湖路260號(大湖國小)
182,C0G840,北斗,32.0,彰化縣,120.514222,23.877586,北斗鎮斗苑路二段150號(螺陽國小)
183,C0G860,社頭,45.0,彰化縣,120.5862,23.897647,社頭鄉社斗路一段258號(社頭國小)
184,C0G870,芳苑,12.0,彰化縣,120.320025,23.922303,芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中)
185,C0G880,二水,92.0,彰化縣,120.6173,23.810742,二水鄉文化村119號(二水國小)
186,C0G890,伸港,24.0,彰化縣,120.484403,24.148933,伸港鄉新港村和平路60號(新港國小)
187,C0G900,線西,20.0,彰化縣,120.443536,24.143358,線西鄉慶福路300號（彰濱工業區線西服務大樓內)
188,C0G910,花壇,42.0,彰化縣,120.549461,24.032076,彰化縣花壇鄉彰員路2段580號（花壇國中內）
189,C0G920,永靖,42.0,彰化縣,120.547533,23.924703,永靖鄉瑚璉路230號（永靖鄉公所樓頂）
190,C0G940,竹塘,21.0,彰化縣,120.386764,23.848253,竹塘鄉東陽路二段123號（長安國小校園內）
191,C0H890,埔里,440.0,南投縣,120.952425,23.972169,埔里鎮大城里大城路169號(南投縣立大成國民中學內)
192,C0H950,中寮,192.0,南投縣,120.766406,23.884447,中寮鄉復興村初中巷50號(中寮國中校園內)
193,C0H960,草屯,120.0,南投縣,120.68085,23.973672,草屯鎮中山里草鞋墩1街8號(草屯鎮公所樓頂)
194,C0H990,昆陽,3076.0,南投縣,121.273642,24.121322,仁愛鄉昆陽警察局後方下坡處(太魯閣國家公園)石碑後20公尺
195,C0H9A0,神木村,1595.0,南投縣,120.843667,23.532742,信義鄉神木村神木工作分站後方山坡上(對高岳營林區29林班地444號土地)
196,C0H9C0,合歡山,3402.0,南投縣,121.272547,24.143442,仁愛鄉(近合歡山三角點，由松雪樓開車約15分鐘，大甲溪事業區第81林班)
197,C0I010,廬山,1562.0,南投縣,121.181808,24.033311,仁愛鄉大同村仁和路21號(埔里-霧社收費站-盧山電力公司瞭望台)
198,C0I080,信義,536.0,南投縣,120.851036,23.689694,信義鄉自強村綠美巷(內茅埔營林區23林班地)
199,C0I090,鳳凰,910.0,南投縣,120.787347,23.728081,鹿谷鄉鳳凰鳥園旁
200,C0I110,竹山,161.0,南投縣,120.688156,23.761225,竹山鎮延和里向學街32號(竹山國民小學內)
201,C0I360,水里,300.0,南投縣,120.849792,23.812553,水里鄉中山路一段515號(玉山國家公園管理處)
202,C0I370,魚池,671.0,南投縣,120.94135,23.895703,魚池鄉東池村魚池街194號(魚池鄉衛生所)
203,C0I380,集集,258.0,南投縣,120.801467,23.828206,集集鎮民生東路1號(農委會特有生物研究保育中心)
204,C0I390,仁愛,1184.0,南投縣,121.132206,24.022122,仁愛鄉仁和路50號(台電公司仁愛服務所)
205,C0I410,名間,180.0,南投縣,120.701447,23.837053,名間鄉董門巷2號(名間鄉立體停車場)
206,C0I420,國姓,305.0,南投縣,120.855072,24.037803,國姓鄉民族街40號(國姓鄉老人文康活動中心)
207,C0I460,南投,110.0,南投縣,120.687331,23.911469,南投市龍泉里玉井街5號(南投市公所樓頂)
208,C0I480,梅峰,2165.0,南投縣,121.173572,24.085272,仁愛鄉大同村仁和路215號(梅峰農場)
209,C0I490,萬大林道,1601.0,南投縣,121.091411,23.928228,仁愛鄉曲冰段(萬大林道約7.2k附近高地)
210,C0I520,玉山風口,3860.0,南投縣,120.955994,23.470489,信義鄉(玉山主峰往北峰叉路空地附近)
